course_source,voice_tag,phrase_or_pattern,chapter_tags,files_found_in,hit_count,frequency,representative_snippet,description
Neuroscience,signature-example,HM,,3 Chapter Structure NS 26SS.pptx; 8 Chapter Rhythms of Waking and Sleep.pptx,2,rare (1-2),pus? Sea-horse Remember Henry Molaison (HM) Bilateral hippocampectomy No new long-term (no disambiguation here) Encoding &,
Neuroscience,signature-example,Phineas Gage,,3 Chapter Structure NS 26SS.pptx,2,rare (1-2),Bell Tower Shooter – Charles Witman  Phineas Gage | Discussion,
S&P,analogy,like retinotopic map,,6 Visual Attention Claude.pptx,1,rare (1-2),"shifts with attention Attention maps → like retinotopic maps, but driven by where the mind attends ""Secret place"" experiment → predicted co",
S&P,cross-chapter,Connects to,,13 Perceiving Music New.pptx; 6 Narrative for Slides enhanced.docx,2,rare (1-2),music-evoked autobiographical memories Connects to El Haj et al. (2013): music improves memory retrieval in Alzheimer's Ask studen,
S&P,cross-chapter,connect to,,3 Retina_Logic_Handout.docx,1,rare (1-2),amacrine cells if bipolar cells already connect to ganglion cells?,
S&P,cross-chapter,link to,,7 Taking Action PPT.pptx,1,rare (1-2),serving Other’s Actions | → Extends the link to social cognition: we perceive others’ actions using our own motor system,
S&P,cross-chapter,ties back,,6 Narrative for Slides enhanced.docx,1,rare (1-2),"ind-wandering data (47% of waking time) ties back to the attentional failures just discussed, and the meditation research offers",
S&P,demo,demo,,1 Introduction 26SS.pptx; 13 Perceiving Music New.pptx; 5 Perceiving Objects and Scenes PPT.pptx; 6 Narrative for Slides enhanced.docx,17,perennial (15+),"g Cherry, run a live dichotic listening demo. Play two overlapping audio messages through classroom speakers (or have studen",
S&P,demo,In-Class,,6 Narrative for Slides enhanced.docx; 6 Narrative for Slides.docx,11,recurring (8-14),"In-class quick-write (5 min): ""You are a UX designer building the next generation of dri",
S&P,demo,Activity,,6 Narrative for Slides enhanced.docx,10,recurring (8-14),In-Class Activity: 2-Minute Focused Attention Exercise,
S&P,demo,demonstration,,1 Introduction 26SS.pptx; 3 Eye and Retina 11th.pptx; 6 Narrative for Slides enhanced.docx; 6 Visual Attention PPT 26SS.pptx,6,occasional (3-7),inforce the distinction with a concrete demonstration: have students fixate on a point on the board while you silently hold up finger,
S&P,demo,in class,,6 Narrative for Slides enhanced.docx,2,rare (1-2),"un a brief focused-attention meditation in class (2 minutes, eyes closed, attend to breath). Afterward, ask students to estimate",
S&P,demo,right now,,13 Perceiving Music New.pptx; 6 Narrative for Slides.docx,2,rare (1-2),"Watch faces. Ask: ""What are you feeling right now? Why is that so uncomfortable?"" | Debrief / Connection to Chapter: | The discom",
S&P,demo,exercise,,6 Narrative for Slides.docx,1,rare (1-2),rtling when students have just done the exercise themselves.,
S&P,demo,turn to,,1 Introduction 26SS.pptx,1,rare (1-2),"drawing in Figure 1.7, close your eyes, turn to the next slide, and open and shut your eyes rapidly to briefly expose the pictu",
S&P,mnemonic,tip,,3 Eye and Retina 11th.pptx,1,rare (1-2),​Jan tries to focus on the tip of her pencil as she brings it closer to her. She feels the strain on her eye a,
S&P,persona,Dr. Oxford,,0 First day of class 26SS.pptx,1,rare (1-2),Who is Dr. Oxford? | Post-doc Alexander von Humboldt Fellow Human Motivational and Affective Neur,
S&P,persona,Oxford,,0 First day of class 26SS.pptx,1,rare (1-2),"Introduction | Jon Oxford, Ph.D. University of Missouri – Columbia Bachelors Evolutionary Biology Doctora",
S&P,signature-example,Tesla,,1 Conceptual Overview 26SS.pptx; 2 Neural Processing 26SS.pptx; 5 Perceiving Objects and Scenes PPT.pptx,23,perennial (15+),"al cameras provide a 360-degree view…” (Tesla, FSD Safety page): https://www.tesla.com/fsd/safety - Human retina: ~120 millio",
S&P,signature-framing,Tesla Vision,,1 Conceptual Overview 26SS.pptx,5,occasional (3-7),"ide (return to this all semester) | Use Tesla Vision to clarify what human perception adds: compression, attention, inference, learn",
S&P,signature-framing,Crash Course,,1 Introduction 26SS.pptx; 3 Eye and Retina 11th.pptx,3,occasional (3-7),"s figure as a man.   Like rat-man demo, crash course  https://youtu.be/n46umYA_4dM  start 1:50, end 2:45",
S&P,signature-framing,digit span,,6 Narrative for Slides enhanced.docx,1,rare (1-2),"Run a brief working memory task (e.g., digit span or operation span). Compare group means. Even with small samples, the pattern o",
